"route","total_flights","avg_arr_delay","on_time_rate"
DFW → LBB,529,39.3,57.47
DFW → FSD,515,38.7,55.15
DFW → XNA,576,38.1,62.85
JAC → DFW,746,35.9,68.10
PNS → DFW,1082,35.5,66.36
DFW → HNL,564,34.2,69.15
DFW → DSM,868,33.2,59.68
DFW → SAV,803,32.6,61.39
DFW → BUF,514,32.4,56.81
MIA → MEM,533,32.3,58.72
XNA → DFW,574,32.1,70.21
AUS → PHL,1060,31.3,74.25
IAD → EWR,1384,30.4,65.39
DFW → PNS,1083,29.9,61.87
DFW → GSO,697,29.4,55.52
GRR → DFW,930,29.0,68.60
IND → PHL,579,28.6,68.91
DFW → MSN,1068,28.1,63.01
DFW → EGE,868,28.0,64.86
MSY → BOS,877,27.9,64.77
